User ID,Age,Gender,EstimatedSalary,Discount
15624510,19,1,19000,9
15810944,35,1,20000,3
15668575,26,0,43000,1
15603246,27,0,57000,4
15804002,19,1,76000,7
15728773,27,1,58000,9
15598044,27,0,84000,12
15694829,32,0,150000,2
15600575,25,1,33000,16
15727311,35,0,65000,18
15570769,26,0,80000,3
15606274,26,0,52000,5
15746139,20,1,86000,6
15704987,32,1,18000,8
15628972,18,1,82000,9
15697686,29,1,80000,12
15733883,47,1,25000,66
15617482,45,1,26000,88
15704583,46,1,28000,23
15621083,48,0,29000,44
15649487,45,1,22000,56
15736760,47,0,49000,11
15714658,48,1,41000,77
15599081,45,0,22000,32
15705113,46,1,23000,12
15631159,47,1,20000,34
15792818,49,1,28000,56
15633531,47,0,30000,67
15744529,29,1,43000,84
15669656,31,1,18000,23
15581198,31,1,74000,18
15729054,27,0,137000,3
15573452,21,0,16000,5
15776733,28,0,44000,6
15724858,27,1,90000,8
15713144,35,1,27000,9
15690188,33,0,28000,12
15689425,30,1,49000,66
15671766,26,0,72000,18
15782806,27,0,31000,3
15764419,27,0,17000,5
15591915,33,0,51000,6
15772798,35,1,108000,8
15792008,30,1,15000,9
15715541,28,0,84000,12
15639277,23,1,20000,66
15798850,25,1,79000,18
15776348,27,0,54000,3
15727696,30,1,135000,5
15793813,31,0,89000,6
15694395,24,0,32000,8
15764195,18,0,44000,9
15744919,29,0,83000,12
15671655,35,0,23000,66
15654901,27,0,58000,66
15649136,24,0,55000,12
15775562,23,0,48000,34
15807481,28,1,79000,56
15642885,22,1,18000,67
15789109,32,0,117000,84
15814004,27,1,20000,23
15673619,25,1,87000,6
15595135,23,0,66000,8
15583681,32,1,120000,9
15605000,59,0,83000,12
15718071,24,1,58000,66
15679760,24,1,19000,18
15654574,23,0,82000,3
15577178,22,0,63000,5
15595324,31,0,68000,6
15756932,25,1,80000,5
15726358,24,0,27000,6
15595228,20,0,23000,34
15782530,33,0,113000,56
15592877,32,1,18000,67
15651983,34,1,112000,5
15746737,18,1,52000,6
15774179,22,0,27000,8
15667265,28,0,87000,9
15655123,26,0,17000,12
15595917,30,1,80000,66
15668385,39,1,42000,18
15709476,20,1,49000,1
15711218,35,1,88000,4
15798659,30,0,62000,7
15663939,31,0,118000,9
15694946,24,1,55000,12
15631912,28,0,85000,2
15768816,26,1,81000,16
15682268,35,1,50000,18
15684801,22,1,81000,3
15636428,30,0,116000,5
15809823,26,1,15000,6
15699284,29,0,28000,8
15786993,29,0,83000,9
15709441,35,0,44000,12
15710257,35,0,25000,66
15582492,28,1,123000,88
15575694,35,1,73000,23
15756820,28,0,37000,44
15766289,27,1,88000,56
15593014,28,1,59000,11
15584545,32,0,86000,9
15675949,33,0,149000,12
15672091,19,0,21000,66
15801658,21,1,72000,18
15706185,26,0,35000,3
15789863,27,1,89000,5
15720943,26,1,86000,6
15697997,38,0,80000,8
15665416,39,0,71000,9
15660200,37,0,71000,12
15619653,38,1,61000,66
15773447,37,1,55000,66
15739160,42,1,80000,12
15689237,40,1,57000,34
15679297,35,1,75000,56
15591433,36,1,52000,67
15642725,40,1,59000,84
15701962,41,1,59000,23
15811613,36,0,75000,6
15741049,37,1,72000,8
15724423,40,0,75000,9
15574305,35,1,53000,12
15678168,41,0,51000,66
15697020,39,0,61000,18
15610801,42,1,65000,3
15745232,26,1,32000,5
15722758,30,1,17000,6
15792102,26,0,84000,5
15675185,31,1,58000,6
15801247,33,1,31000,34
15725660,30,1,87000,56
15638963,21,0,68000,67
15800061,28,0,55000,5
15578006,23,1,63000,6
15668504,20,0,82000,8
15687491,30,1,107000,9
15610403,28,0,59000,12
15741094,19,1,25000,66
15807909,19,1,85000,18
15666141,18,0,68000,1
15617134,35,1,59000,4
15783029,30,1,89000,7
15622833,34,0,25000,9
15746422,24,0,89000,12
15750839,27,0,96000,2
15749130,41,0,30000,16
15779862,29,1,61000,18
15767871,20,1,74000,3
15679651,26,0,15000,5
15576219,41,1,45000,6
15699247,31,1,76000,8
15619087,36,0,50000,9
15605327,40,1,47000,12
15610140,31,0,15000,66
15791174,46,1,59000,88
15602373,29,1,75000,5
15762605,26,1,30000,6
15598840,32,0,135000,8
15744279,32,1,100000,9
15670619,25,1,90000,1
15599533,37,0,33000,7
15757837,35,1,38000,2
15697574,33,0,69000,3
15578738,18,0,86000,5
15762228,22,0,55000,6
15614827,35,0,71000,8
15789815,29,1,148000,9
15579781,29,0,47000,1
15587013,21,1,88000,7
15570932,34,1,115000,2
15794661,26,0,118000,3
15581654,34,0,43000,5
15644296,34,0,72000,6
15614420,23,0,28000,8
15609653,35,0,47000,9
15594577,25,1,22000,1
15584114,24,1,23000,7
15673367,31,0,34000,7
15685576,26,1,16000,1
15774727,31,0,71000,3
15694288,32,0,117000,6
15603319,33,1,43000,7
15759066,33,0,60000,8
15814816,31,1,66000,2
15724402,20,0,82000,6
15571059,33,0,41000,8
15674206,35,1,72000,9
15715160,28,1,32000,1
15730448,24,1,84000,7
15662067,19,0,26000,2
15779581,29,1,43000,3
15662901,19,1,70000,5
15689751,28,1,89000,6
15667742,34,1,43000,5
15738448,30,0,79000,6
15680243,20,0,36000,3
15745083,26,1,80000,6
15708228,35,1,22000,7
15628523,35,1,39000,5
15708196,49,1,74000,6
15735549,39,0,134000,8
15809347,41,0,71000,9
15660866,58,0,101000,1
15766609,47,0,47000,7
15654230,55,0,130000,2
15794566,52,0,114000,1
15800890,40,0,142000,4
15697424,46,0,22000,7
15724536,48,0,96000,9
15735878,52,1,150000,1
15707596,59,0,42000,2
15657163,35,1,58000,2
15622478,47,1,43000,2
15779529,60,0,108000,3
15636023,49,1,65000,5
15582066,40,1,78000,6
15666675,46,0,96000,1
15732987,59,1,143000,1
15789432,41,0,80000,1
15663161,35,1,91000,2
15694879,37,1,144000,2
15593715,60,1,102000,3
15575002,35,0,60000,3
15622171,37,1,53000,5
15795224,36,0,126000,6
15685346,56,1,133000,6
15691808,40,0,72000,6
15721007,42,0,80000,7
15794253,35,0,147000,7
15694453,39,1,42000,7
15813113,40,1,107000,7
15614187,49,1,86000,8
15619407,38,0,112000,8
15646227,46,1,79000,9
15660541,40,1,57000,9
15753874,37,0,80000,1
15617877,46,0,82000,1
15772073,53,0,143000,11
15701537,42,1,149000,12
15736228,38,1,59000,12
15780572,50,0,88000,12
15769596,56,0,104000,12
15586996,41,0,72000,12
15722061,51,0,146000,12
15638003,35,0,50000,12
15775590,57,0,122000,12
15730688,41,1,52000,12
15753102,35,0,97000,1
15810075,44,0,39000,1
15723373,37,1,52000,1
15795298,48,0,134000,1
15584320,37,0,146000,1
15724161,50,0,44000,1
15750056,52,0,90000,1
15609637,41,0,72000,1
15794493,40,1,57000,1
15569641,58,0,95000,1
15815236,45,0,131000,16
15811177,35,0,77000,16
15680587,36,1,144000,2
15672821,55,0,125000,18
15767681,35,0,72000,18
15600379,48,1,90000,18
15801336,42,0,108000,18
15721592,40,1,75000,18
15581282,37,1,74000,2
15746203,47,0,144000,2
15583137,40,1,61000,2
15680752,43,0,133000,2
15688172,59,0,76000,2
15791373,60,1,42000,2
15589449,39,1,106000,2
15692819,57,0,26000,2
15727467,57,1,74000,2
