User ID,Age,Quantity,EstimatedSalary,Discount
15624510,19,32,19000,0.26
15810944,35,19,20000,0.43
15668575,26,40,43000,0.66
15603246,27,14,57000,0.14
15804002,19,41,76000,0.56
15728773,27,5,58000,0.83
15598044,27,3,84000,0.49
15694829,32,2,150000,0.28
15600575,25,16,33000,0.62
15727311,35,37,65000,0.15
15570769,26,23,80000,0.04
15606274,26,2,52000,0.04
15746139,20,50,86000,0.29
15704987,32,21,18000,0.03
15628972,18,2,82000,0.75
15697686,29,41,80000,0.66
15733883,47,31,25000,0.62
15617482,45,19,26000,0.24
15704583,46,48,28000,0.64
15621083,48,10,29000,0.51
15649487,45,46,22000,0.81
15736760,47,13,49000,0.86
15714658,48,11,41000,0.81
15599081,45,28,22000,0.68
15705113,46,48,23000,0.26
15631159,47,49,20000,1.00
15792818,49,8,28000,0.10
15633531,47,11,30000,0.73
15744529,29,43,43000,0.78
15669656,31,3,18000,0.62
15581198,31,28,74000,0.18
15729054,27,46,137000,0.70
15573452,21,11,16000,0.65
15776733,28,28,44000,0.26
15724858,27,27,90000,0.85
15713144,35,1,27000,0.11
15690188,33,26,28000,0.39
15689425,30,36,49000,0.77
15671766,26,8,72000,0.40
15782806,27,20,31000,0.45
15764419,27,7,17000,0.54
15591915,33,33,51000,0.82
15772798,35,5,108000,0.27
15792008,30,15,15000,0.25
15715541,28,25,84000,0.32
15639277,23,31,20000,0.83
15798850,25,39,79000,0.95
15776348,27,6,54000,0.58
15727696,30,25,135000,0.21
15793813,31,43,89000,0.92
15694395,24,15,32000,0.04
15764195,18,34,44000,0.33
15744919,29,24,83000,0.49
15671655,35,49,23000,0.51
15654901,27,29,58000,0.46
15649136,24,34,55000,0.82
15775562,23,44,48000,0.44
15807481,28,45,79000,0.74
15642885,22,13,18000,0.78
15789109,32,8,117000,0.11
15814004,27,7,20000,0.53
15673619,25,10,87000,0.54
15595135,23,17,66000,0.14
15583681,32,30,120000,0.29
15605000,59,1,83000,0.14
15718071,24,34,58000,0.22
15679760,24,23,19000,0.23
15654574,23,50,82000,0.53
15577178,22,17,63000,0.15
15595324,31,27,68000,0.50
15756932,25,3,80000,0.77
15726358,24,20,27000,0.33
15595228,20,39,23000,0.89
15782530,33,47,113000,0.61
15592877,32,37,18000,0.81
15651983,34,45,112000,0.41
15746737,18,16,52000,0.53
15774179,22,25,27000,0.30
15667265,28,5,87000,0.36
15655123,26,20,17000,0.41
15595917,30,38,80000,0.87
15668385,39,16,42000,0.75
15709476,20,21,49000,0.89
15711218,35,23,88000,0.21
15798659,30,8,62000,0.13
15663939,31,30,118000,1.00
15694946,24,32,55000,0.72
15631912,28,10,85000,0.52
15768816,26,1,81000,0.94
15682268,35,9,50000,0.95
15684801,22,39,81000,0.49
15636428,30,2,116000,0.07
15809823,26,19,15000,0.52
15699284,29,32,28000,0.00
15786993,29,3,83000,0.84
15709441,35,43,44000,0.50
15710257,35,32,25000,0.46
15582492,28,41,123000,0.54
15575694,35,1,73000,0.59
15756820,28,1,37000,0.07
15766289,27,5,88000,0.29
15593014,28,49,59000,0.11
15584545,32,44,86000,0.60
15675949,33,4,149000,1.00
15672091,19,33,21000,0.60
15801658,21,3,72000,0.08
15706185,26,49,35000,0.33
15789863,27,14,89000,0.14
15720943,26,16,86000,0.87
15697997,38,7,80000,0.23
15665416,39,10,71000,0.16
15660200,37,19,71000,0.12
15619653,38,38,61000,0.91
15773447,37,47,55000,0.30
15739160,42,3,80000,0.40
15689237,40,13,57000,0.05
15679297,35,0,75000,0.61
15591433,36,14,52000,0.95
15642725,40,0,59000,0.66
15701962,41,23,59000,0.33
15811613,36,41,75000,0.14
15741049,37,50,72000,1.00
15724423,40,7,75000,0.77
15574305,35,19,53000,0.40
15678168,41,34,51000,0.25
15697020,39,15,61000,0.80
15610801,42,1,65000,0.28
15745232,26,13,32000,0.80
15722758,30,7,17000,0.01
15792102,26,40,84000,0.92
15675185,31,16,58000,0.85
15801247,33,1,31000,0.05
15725660,30,3,87000,0.28
15638963,21,10,68000,0.75
15800061,28,36,55000,0.17
15578006,23,46,63000,0.02
15668504,20,31,82000,0.33
15687491,30,10,107000,0.66
15610403,28,18,59000,0.31
15741094,19,42,25000,0.04
15807909,19,17,85000,0.00
15666141,18,42,68000,0.73
15617134,35,15,59000,0.41
15783029,30,35,89000,0.90
15622833,34,40,25000,0.50
15746422,24,19,89000,0.15
15750839,27,19,96000,0.29
15749130,41,5,30000,0.35
15779862,29,29,61000,0.80
15767871,20,41,74000,0.82
15679651,26,21,15000,0.27
15576219,41,4,45000,0.48
15699247,31,8,76000,0.84
15619087,36,27,50000,0.04
15605327,40,19,47000,0.69
15610140,31,5,15000,0.79
15791174,46,18,59000,0.12
15602373,29,12,75000,0.03
15762605,26,15,30000,0.46
15598840,32,8,135000,0.34
15744279,32,19,100000,0.79
15670619,25,35,90000,0.34
15599533,37,45,33000,0.32
15757837,35,20,38000,0.13
15697574,33,35,69000,0.78
15578738,18,32,86000,0.31
15762228,22,10,55000,0.70
15614827,35,32,71000,0.80
15789815,29,6,148000,0.58
15579781,29,12,47000,0.40
15587013,21,31,88000,0.96
15570932,34,6,115000,0.70
15794661,26,24,118000,0.04
15581654,34,16,43000,0.20
15644296,34,13,72000,0.77
15614420,23,16,28000,0.48
15609653,35,5,47000,0.20
15594577,25,36,22000,0.17
15584114,24,6,23000,0.40
15673367,31,9,34000,0.81
15685576,26,10,16000,0.16
15774727,31,5,71000,0.54
15694288,32,29,117000,0.27
15603319,33,31,43000,0.23
15759066,33,36,60000,0.32
15814816,31,1,66000,0.66
15724402,20,7,82000,0.10
15571059,33,7,41000,0.06
15674206,35,37,72000,0.01
15715160,28,41,32000,0.44
15730448,24,47,84000,0.23
15662067,19,7,26000,0.01
15779581,29,23,43000,0.48
15662901,19,24,70000,0.39
15689751,28,46,89000,0.34
15667742,34,41,43000,0.92
15738448,30,43,79000,0.32
15680243,20,48,36000,0.06
15745083,26,33,80000,0.83
15708228,35,24,22000,0.22
15628523,35,31,39000,0.33
15708196,49,6,74000,0.78
15735549,39,29,134000,0.29
15809347,41,42,71000,0.16
15660866,58,14,101000,0.27
15766609,47,19,47000,0.31
15654230,55,6,130000,0.64
15794566,52,12,114000,0.02
15800890,40,37,142000,0.26
15697424,46,13,22000,0.78
15724536,48,49,96000,0.59
15735878,52,12,150000,0.59
15707596,59,44,42000,0.88
15657163,35,2,58000,0.46
15622478,47,50,43000,0.34
15779529,60,31,108000,0.95
15636023,49,35,65000,0.83
15582066,40,11,78000,0.26
15666675,46,32,96000,0.22
15732987,59,48,143000,0.98
15789432,41,50,80000,0.22
15663161,35,39,91000,0.16
15694879,37,47,144000,0.29
15593715,60,2,102000,0.73
15575002,35,35,60000,0.96
15622171,37,19,53000,0.68
15795224,36,44,126000,0.94
15685346,56,25,133000,0.64
15691808,40,23,72000,0.20
15721007,42,11,80000,0.77
15794253,35,34,147000,0.40
15694453,39,11,42000,0.57
15813113,40,6,107000,0.86
15614187,49,37,86000,0.08
15619407,38,34,112000,0.62
15646227,46,31,79000,0.42
15660541,40,7,57000,0.01
15753874,37,26,80000,0.23
15617877,46,39,82000,0.90
15772073,53,20,143000,0.52
15701537,42,1,149000,0.81
15736228,38,9,59000,0.34
15780572,50,5,88000,0.82
15769596,56,23,104000,0.25
15586996,41,9,72000,0.99
15722061,51,34,146000,0.88
15638003,35,21,50000,0.34
15775590,57,22,122000,0.76
15730688,41,22,52000,0.96
15753102,35,37,97000,0.66
15810075,44,26,39000,0.06
15723373,37,35,52000,0.59
15795298,48,37,134000,0.93
15584320,37,2,146000,0.83
15724161,50,2,44000,0.48
15750056,52,2,90000,0.26
15609637,41,29,72000,0.02
15794493,40,15,57000,0.66
15569641,58,10,95000,0.53
15815236,45,39,131000,0.04
15811177,35,21,77000,0.38
15680587,36,13,144000,0.16
15672821,55,22,125000,0.60
15767681,35,38,72000,0.51
15600379,48,14,90000,0.76
15801336,42,6,108000,0.51
15721592,40,15,75000,0.07
15581282,37,18,74000,0.52
15746203,47,7,144000,0.05
15583137,40,4,61000,0.03
15680752,43,18,133000,0.95
15688172,59,7,76000,0.73
15791373,60,20,42000,0.24
15589449,39,28,106000,0.26
15692819,57,14,26000,0.43
15727467,57,27,74000,0.41
15734312,38,3,71000,0.70
15764604,49,44,88000,0.75
15613014,52,16,38000,0.36
15759684,50,33,36000,0.07
15609669,59,8,88000,0.11
15685536,35,44,61000,0.30
15750447,37,47,70000,0.62
15663249,52,12,21000,0.75
15638646,48,4,141000,0.53
15734161,37,45,93000,0.01
15631070,37,14,62000,0.24
15761950,48,35,138000,0.38
15649668,41,3,79000,0.65
15713912,37,47,78000,0.50
15586757,39,21,134000,0.42
15596522,49,17,89000,0.76
15625395,55,30,39000,0.72
15760570,37,5,77000,0.96
15566689,35,30,57000,0.98
15725794,36,23,63000,0.42
15673539,42,23,73000,0.45
15705298,43,38,112000,0.32
15675791,45,4,79000,0.74
15747043,46,50,117000,0.11
15736397,58,5,38000,0.72
15678201,48,13,74000,0.20
15720745,37,28,137000,0.96
15637593,37,50,79000,0.26
15598070,40,19,60000,0.15
15787550,42,1,54000,0.62
15603942,51,9,134000,0.13
15733973,47,16,113000,0.15
15596761,36,7,125000,0.71
15652400,38,17,50000,0.65
15717893,42,10,70000,0.43
15622585,39,13,96000,0.43
15733964,38,29,50000,0.21
15753861,49,39,141000,0.15
15747097,39,2,79000,0.23
15594762,39,34,75000,0.68
15667417,54,18,104000,0.49
15684861,35,18,55000,0.93
15742204,45,12,32000,0.60
15623502,36,9,60000,0.22
15774872,52,20,138000,0.48
15611191,53,19,82000,0.79
15674331,41,0,52000,0.62
15619465,48,47,30000,0.32
15575247,48,32,131000,0.43
15695679,41,44,60000,0.65
15713463,41,30,72000,0.36
15785170,42,4,75000,0.41
15796351,36,18,118000,0.61
15639576,47,11,107000,0.82
15693264,38,28,51000,0.49
15589715,48,33,119000,0.37
15769902,42,23,65000,0.78
15587177,40,17,65000,0.95
15814553,57,20,60000,0.99
15601550,36,11,54000,0.39
15664907,58,20,144000,0.44
15612465,35,43,79000,0.02
15810800,38,44,55000,0.28
15665760,39,24,122000,0.40
15588080,53,28,104000,0.78
15776844,35,9,75000,0.10
15717560,38,28,65000,0.96
15629739,47,1,51000,0.32
15729908,47,29,105000,0.92
15716781,41,20,63000,0.75
15646936,53,39,72000,0.43
15768151,54,3,108000,0.42
15579212,39,31,77000,0.18
15721835,38,41,61000,0.37
15800515,38,20,113000,0.59
15591279,37,38,75000,0.00
15587419,42,26,90000,0.41
15750335,37,23,57000,0.04
15699619,36,38,99000,0.19
15606472,60,8,34000,0.54
15778368,54,36,70000,0.67
15671387,41,8,72000,0.92
15573926,40,1,71000,0.86
15709183,42,30,54000,0.74
15577514,43,1,129000,0.49
15778830,53,12,34000,0.29
15768072,47,20,50000,0.67
15768293,42,5,79000,0.51
15654456,42,17,104000,0.20
15807525,59,34,29000,0.85
15574372,58,16,47000,0.89
15671249,46,15,88000,0.17
15779744,38,26,71000,0.15
15624755,54,41,26000,0.17
15611430,60,35,46000,0.92
15774744,60,20,83000,0.98
15629885,39,35,73000,0.22
15708791,59,13,130000,0.08
15793890,37,6,80000,0.71
15646091,46,42,32000,0.97
15596984,46,45,74000,0.59
15800215,42,18,53000,0.38
15577806,41,29,87000,0.86
15749381,58,40,23000,0.07
15683758,42,22,64000,0.22
15670615,48,3,33000,0.68
15715622,44,47,139000,0.65
15707634,49,21,28000,0.21
15806901,57,41,33000,0.84
15775335,56,11,60000,0.06
15724150,49,23,39000,0.44
15627220,39,4,71000,0.33
15672330,47,1,34000,0.81
15668521,48,32,35000,0.22
15807837,48,27,33000,0.22
15592570,47,4,23000,0.11
15748589,45,8,45000,0.79
15635893,60,21,42000,0.57
15757632,39,47,59000,0.11
15691863,46,2,41000,0.76
15706071,51,18,23000,0.89
15654296,50,12,20000,1.00
15755018,36,4,33000,0.61
15594041,49,34,36000,0.49
