User ID,Age,Quantity,EstimatedWages,Discount
15624510,19,43,1088,0.89
15810944,35,5,1574,0.28
15668575,26,45,1951,0.54
15603246,27,16,1848,0.83
158042,19,46,1480,0.49
15728773,27,5,1048,0.02
15598044,27,3,1732,0.56
15694829,32,11,1657,0.83
156575,25,36,1783,0.24
15727311,35,25,1863,0.75
15570769,26,26,1380,0.33
15606274,26,2,1615,0.42
15746139,20,2,1381,0.45
15704987,32,41,1891,0.72
15628972,18,2,1841,0.23
15697686,29,10,1613,0.62
15733883,47,49,1644,0.80
15617482,45,11,1372,0.24
15704583,46,50,1334,0.66
15621083,48,33,1226,0.17
15649487,45,50,1223,0.30
15736760,47,1,1057,0.28
15714658,48,21,1350,0.73
15599081,45,27,1997,0.20
15705113,46,37,1938,0.19
15631159,47,4,1178,0.97
15792818,49,16,1163,0.58
15633531,47,2,1093,0.05
15744529,29,14,1566,0.56
15669656,31,22,1703,0.85
15581198,31,25,1445,0.14
15729054,27,27,1506,0.80
15573452,21,35,1409,0.67
15776733,28,8,1858,0.21
15724858,27,32,1652,0.46
15713144,35,28,1498,0.04
15690188,33,1,1768,0.83
15689425,30,33,1073,0.51
15671766,26,30,1931,0.45
15782806,27,37,1711,0.56
15764419,27,7,1237,0.85
15591915,33,5,1020,0.02
15772798,35,5,1094,0.19
157928,30,15,1098,0.42
15715541,28,34,1051,0.07
15639277,23,18,1481,0.04
15798850,25,30,1990,0.90
15776348,27,44,1438,0.89
15727696,30,15,1248,0.71
15793813,31,15,1060,0.05
15694395,24,22,1889,0.22
15764195,18,39,1573,0.30
15744919,29,29,1186,0.36
15671655,35,36,1319,0.77
15654901,27,9,1411,0.59
15649136,24,12,1272,0.32
15775562,23,21,1384,0.24
15807481,28,30,1599,0.28
15642885,22,36,1578,0.68
15789109,32,29,1375,0.57
158144,27,19,1007,0.52
15673619,25,48,1732,0.98
15595135,23,11,1345,0.57
15583681,32,44,1897,0.98
156050,59,6,1323,0.61
15718071,24,22,1770,0.28
15679760,24,26,1099,0.95
15654574,23,34,1933,0.23
15577178,22,24,1320,0.70
15595324,31,22,1577,0.91
15756932,25,49,1961,0.21
15726358,24,2,1734,0.13
15595228,20,37,1720,0.49
15782530,33,36,1916,0.40
15592877,32,19,1964,0.71
15651983,34,9,1579,0.78
15746737,18,7,1332,0.77
15774179,22,44,1779,0.76
15667265,28,49,1195,0.55
15655123,26,13,1097,0.98
15595917,30,35,1431,0.45
15668385,39,35,1878,0.53
15709476,20,49,1245,0.09
15711218,35,48,1482,0.07
15798659,30,43,1427,0.39
15663939,31,15,1736,0.99
15694946,24,15,1308,0.68
15631912,28,23,1354,0.73
15768816,26,16,1119,0.75
15682268,35,49,1596,0.82
15684801,22,42,1038,0.91
15636428,30,21,1998,0.63
15809823,26,25,1447,0.01
15699284,29,40,1821,0.25
15786993,29,40,1856,0.48
15709441,35,5,1388,0.76
15710257,35,29,1697,0.06
15582492,28,32,1100,0.05
15575694,35,45,1708,0.83
15756820,28,49,1447,0.16
